"agency codes","sname","areacode","district","pzoon","fzoon","mark"
"382083800Y","實踐國小","65000010","板橋區","一、福祿里、福德里（8－25鄰）、國泰里、後埔里（14－17鄰）、福丘里（1－7鄰） 二、中和區民生里、國光里（1－12、23－39鄰）、德穗里（1－7、26－29鄰）","一、後埔里（1－13鄰）【實踐、後埔國小自由學區】 二、中和區國光里（13－22鄰）【實踐、中和區自強國小自由學區】","◎後埔里(14-17鄰)可經里辦公處證明後請後埔國小考量配合就讀。 "
"382084200Y","大觀國小","65000010","板橋區","華中里、僑中里、大觀里、歡園里、浮洲里","湳興里【大觀、板橋、後埔國小自由學區】","一、    109年3月2日起浮洲里調整: 大觀路1段38巷8、10、12、16號，原21鄰併至24鄰。 大觀路1段38巷18、20、22、26號，原21鄰併至25鄰。"
"382084000Y","溪洲國小","65000010","板橋區","溪洲里、溪福里、堂春里","","◎108學年度調整過渡期間，溪洲里、溪福里、堂春里學生仍可就讀沙崙國小。 ◎109學年度起溪 洲里、溪福里、堂春里正式調整為溪州國小基本學區，並於109學年度學區調整會議中研議開放上述3里每里5名學童申請就讀沙崙國小之相關措施。
◎110學年度起取消溪洲里、溪福里與堂春里每里5位名額就讀沙崙國小。"
"382084100Y","信義國小","65000010","板橋區","一、華德里、信義里、華東里（除1-6、19-21鄰） 二、土城區瑞興里、復興里","一、土城區貨饒里【信義、土城區樂利國小自由學區】 二、土城區廣興里（6－18鄰）【信義、土城區廣福國小自由學區】","◎華東里105年11月進行里鄰整編，原第4鄰改劃為第20、21鄰，原第5鄰改劃為第6鄰，原第6鄰併入第8、10鄰。"
"382085300Y","重慶國小","65000010","板橋區","和平里、廣福里、五權里、重慶里（1－4、14－16、20、26－29、32、36－38鄰）","一、重慶里（5－13、17－19、21－25、30－31、33－35鄰）【重慶、後埔國小自由學區】 二、中和區壽德里、明德里【重慶、中和區自強國小自由學區】",""
"382087500Y","中和區 光復國小","65000010","板橋區","福壽里、居仁里、富貴里、長壽里、光復里、埔墘里（1－17鄰）","","一、106學年度前(含106學年度)開放為板橋區、中和區全區自由學區。 二、板橋區海山、莒光、埔墘國小、中和區積穗國小學區及板橋區宏翠里之學童107學年度仍可就讀光復國小，其餘板橋、中和區之學童回歸原學區就讀。上述4校及板橋區宏翠里外之學童，倘有兄姐現就讀光復國小，得提出申請隨兄姐就讀。
◎ 111學年度起，取消中和區積穗國小學區內學童至光復國小就讀，倘有兄姐現就讀光復國小，得提出申請隨兄姐就讀。"
"382085800Y","土城國小","65000130","土城區","土城里、埤塘里、員仁里、員信里、員林里、員福里、大安里、長風里","一、柑林里（1－15、17－18鄰）【土城、樂利、廣福、清水國小自由學區】 二、永寧里【土城、頂埔國小自由學區】",""
"382085900Y","清水國小","65000130","土城區","清水里、永豐里、永富里、清和里、青雲里（1－10、17－18鄰）、清化里、廷寮里、清溪里（8－10、15－43、45－47、50－53鄰）、青山里","一、柑林里（1－15、17－18鄰）【清水、土城、樂利、廣福國小自由學區】 二、金城里、峰廷里、延吉里、清溪里（1－7、11－14、44、48－49鄰）【清水、安和國小自由學區】","金城里自101學年度調整為清水及安和國小自由學區。"
"382086300Y","安和國小","65000130","土城區","安和里、延和里","一、平和里、延壽里、延祿里【安和、中和區自強國小自由學區】 二、金城里、峰廷里、延吉里、清溪里（1－7、11－14、44、48－49鄰）【安和、清水國小自由學區】","金城里自101學年度調整為安和及清水國小自由學區。"
"382086100Y","廣福國小","65000130","土城區","埤林里（8、10－19、21－38鄰）、廣興里（1－5鄰）、學府里（1－5、10－12、14－22鄰）、廣福里、柑林里（16、19－21鄰）、學士里、中正里、學成里（1－14、18鄰）、青雲里（11－16、19－21鄰）","一、柑林里（1－15、17－18鄰）【廣福、土城、樂利、清水國小自由學區】 二、學府里（6－9、13鄰）、埤林里（1－7、9、20鄰）【廣福、樂利國小自由學區】 三、廣興里（6－18鄰）【廣福、板橋區信義國小自由學區】",""
"382086000Y","頂埔國小","65000130","土城區","祖田里、頂新里、頂福里、頂埔里、沛陂里","永寧里【頂埔、土城國小自由學區】",""
"382086200Y","樂利國小","65000130","土城區","日新里、日和里、裕生里、樂利里、明德里、學成里（15－17鄰）","一、貨饒里【樂利、板橋區信義國小自由學區】 二、學府里（6－9、13鄰）、埤林里（1－7、9、20鄰）【樂利、廣福國小自由學區】 三、柑林里（1－15、17－18鄰）【樂利、土城、廣福、清水國小自由學區】",""
"382084100Y","板橋區 信義國小","65000130","土城區","一、華德里、信義里、華東里（除1-6、19-21鄰） 二、土城區瑞興里、復興里","一、土城區貨饒里【板橋區信義、土城區樂利國小自由學區】 二、土城區廣興里（6－18鄰）【板橋區信義、土城區廣福國小自由學區】","◎華東里105年11月進行里鄰整編，原第4鄰改劃為第20、21鄰，原第5鄰改劃為第6鄰，原第6鄰併入第8、10鄰。"
"382089400Y","三多國小","65000070","樹林區","三興里、三福里、三龍里、三多里（6－10、15、17－21鄰）","一、圳生里（2－9鄰）【三多、武林、文林國小自由學區】 二、三多里（1－5、11－14、16鄰）【三多、武林國小自由學區】三、 三龍里16鄰【三多、新莊區裕民國小之自由學區】","◎ 111學年度起，三龍里16鄰調整為三多國小與新莊區裕民國小之自由學區。"
"382088900Y","武林國小","65000070","樹林區","光興里、金寮里、獇寮里","一、潭底里（1－10鄰）【武林、文林、樹林國小自由學區】 二、圳安里（3鄰）、圳民里（16鄰）【武林、文林國小自由學區】 三、圳生里（2－9鄰）【武林、三多、文林國小自由學區】 四、三多里（1－5、11－14、16鄰）【武林、三多國小自由學區】",""
"382089300Y","文林國小","65000070","樹林區","一、文林里、保安里、圳福里、圳安里（1－2、4－23鄰）、潭底里（11－33鄰）、圳生里（1、10、11鄰）、圳民里（1－15鄰）、樹福里（19鄰） 二、新莊區西盛里（14－18鄰、25－29鄰）","一、圳安里（3鄰）、圳民里（16鄰）【文林、武林國小自由學區】 二、潭底里（1－10鄰）【文林、武林、樹林國小自由學區】 三、圳生里（2－9鄰）【文林、三多、武林國小自由學區】 四、新莊區西盛里（12鄰）【文林國小、新莊區光華國小自由學區】  ",""
"382088700Y","樹林國小","65000070","樹林區","樹北里、樹西里、育英里、樹德里、樹興里、樹東里（1－10、12鄰）、樹福里（1－18、20鄰）、樹人里（7－21鄰）、樹南里（1－11、24－29鄰）","潭底里（1－10鄰）【樹林、文林、武林國小自由學區】",""
"382089600Y","育林國小","65000070","樹林區","坡內里、東昇里（1－8、17－28鄰）、樹人里（1－6鄰）、樹南里（12－23鄰）","",""
