行政區域代碼,業者名稱店名,食品業者登錄字號,地址,評核結果
63000040,日出茶太_美麗華店,A-180671769-00017-0,臺北市中山區敬業三路20號B1,優
63000040,丸亀製麺48號店_美麗華店,A-153919541-00054-4,臺北市中山區敬業三路20號B1,優
63000020,旭成鐵板料理-台北101店,A-126533987-00001-2,臺北市信義區市府路45號B1,優
63000020,蔬河-台北101店,A-154675966-00004-0,臺北市信義區市府路45號B1,優
63000020,小南門傳統美食-台北101店,A-124977367-00002-5,臺北市信義區市府路45號B1,優
63000020,開丼-台北101店,A-153925311-00029-8,臺北市信義區市府路45號B1,優
63000020,韓鶴亭-台北101店,A-189468529-00001-0,臺北市信義區市府路45號B1,優
63000020,八色烤肉mini-台北101店,A-190338454-00001-5,臺北市信義區市府路45號B1,優
63000060,拿坡里披薩炸雞民生店,A-197301707-00007-9,臺北市大同區民生西路83號,優
63000100,拿坡里披薩炸雞內湖店,A-197301707-00010-3,臺北市內湖區成功路3段141號,優
63000120,拿坡里披薩炸雞北投店,A-197301707-00018-1,臺北市北投區中央北路1段125號1樓,優
63000090,拿坡里披薩炸雞南港店,A-197301707-00004-6,臺北市南港區三重路7號,優
63000100,拿坡里披薩炸雞劍南店,A-197301707-00548-9,臺北市內湖區內湖路1段49號,優
63000080,拿坡里披薩炸雞興隆店,A-197301707-00028-2,臺北市文山區興隆路3段31號,優
63000050,拿坡里披薩炸雞南昌店,A-197301707-00031-6,臺北市中正區南昌路1段151號,優
63000030,朱記餡餅粥-遠企購物中心敦南店,A-153095716-00007-1,臺北市大安區敦化南路2段203號B2,優
63000090,朱記餡餅粥-環球南港車站店 ,A-153095716-00049-7,臺北市南港區忠孝東路7段371號B1,優
63000020,朱記餡餅粥-潤泰松山車站店,A-153095716-00035-2,臺北市信義區松山路11號2樓,優
63000110,朱記餡餅粥-SOGO百貨天母店,A-153095716-00011-6,臺北市士林區中山北路6段77號8樓,優
63000050,朱記餡餅粥-新光三越台北站前店,A-153095716-00059-8,臺北市中正區忠孝西路1段66號B1,優
63000020,漢堡王-華納店,A-123309178-00006-7,臺北市信義區松壽路20號2樓,優
63000040,漢堡王-美麗華店,A-123309178-00011-3,臺北市中山區敬業三路20號B1,優
63000100,漢堡王-內湖店,A-123309178-00013-5,臺北市內湖區民善街88號,優
63000040,漢堡王-長春店,A-123309178-00021-4,臺北市中山區長春路176號,優
63000050,漢堡王-公館店,A-123309178-00047-2,臺北市中正區羅斯福路3段246號,優
63000030,漢堡王-新師大店,A-123309178-00052-8,臺北市大安區師大路86巷1號1樓及B1,優
63000050,漢堡王-微風北車店,A-123309178-00137-2,臺北市中正區北平西路3號2樓,優
63000080,漢堡王-木新店,A-123309178-00201-4,臺北市文山區木新路3段109號,優
63000120,漢堡王-北投光明店,A-123309178-00263-2,臺北市北投區光明路146之4號,優
63000100,漢堡王-內湖成功店,A-123309178-00058-4,臺北市內湖區成功路4段178號1樓,優
63000010,大戶屋-微風廣場店,A-153089762-00029-9,臺北市松山區復興南路1段39號GF,優
63000030,大戶屋-大安店,A-153089762-00019-8,臺北市大安區復興南路1段323號B1,優
63000010,大戶屋-南京復興店,A-153089762-00015-4,臺北市松山區南京東路3段258號2樓,優
63000020,大戶屋-松山車站店,A-153089762-00013-2,臺北市信義區松山路11號1樓,優
63000090,大戶屋-南港車站店,A-153089762-00011-0,臺北市南港區忠孝東路7段369號7樓,優
63000030,大戶屋-忠孝復興店,A-153089762-00005-3,臺北市大安區忠孝東路4段52號2樓,優
63000100,大戶屋-東湖店,A-153089762-00033-4,臺北市內湖區康寧路3段187號2樓,優
63000040,大戶屋-行天宮站店,A-153089762-00035-6,臺北市中山區松江路276號2樓,優
63000060,大戶屋-京站店,A-153089762-00038-9,臺北市大同區承德路1段1號B3,優
63000100,Q Burger 內湖麗山店,A-191006756-00001-3,臺北市內湖區內湖路1段629巷41號1樓,優
63000020,Q Burger 信義永吉店,A-199995943-00001-6,臺北市信義區永吉路120巷1號1樓,優
63000120,Q Burger 北投立農店,A-191041557-00001-1,臺北市北投區立農街2段259號1樓,優
63000080,Q Burger 文山恆光店,A-196589203-00001-1,臺北市文山區木新路2段242號1樓,優
63000120,Q Burger 北投唭哩岸店,A-196659474-00001-9,臺北市北投區立農街1段277號1樓,優
63000080,Q Burger 文山木新店,A-100246887-00001-4,臺北市文山區木新路3段224號1樓,優
63000080,Q Burger 文山萬和店,A-100040077-00001-7,臺北市文山區羅斯福路5段218巷3號1樓,優
63000080,Q Burger 文山景興店,A-194190411-00001-8,臺北市文山區景興路99號,優
63000040,Q Burger 中山榮星店, A-193604429-00001-6,臺北市中山區五常街63號,優
63000070,Q Burger 萬華雙園店,A-193717676-00001-5,臺北市萬華區雙園街15號 ,優
63000030,Q Burger 大安樂業店,A-193711716-00001-4,臺北市大安區樂業街153號,優
63000040,Q Burger 中山中原店,A-183630932-00001-3,臺北市中山區中原街41號1樓,優
63000020,Q Burger 信義虎林店,A-183630975-00001-0,臺北市信義區信義路6段106號1樓,優
63000120,Q Burger 北投大興店,A-190168486-00001-1,臺北市北投區大興街48號,優
63000080,Q Burger 文山世新店,A-190403779-00001-8,臺北市文山區木柵路1段101號1樓及地下室,優
63000080,Q Burger 文山新光店,A-190046082-00001-8,臺北市文山區新光路1段26號,優
63000050,新馬辣公館店,A-124335765-00000-3,臺北市中正區汀州路3段295號,優
63000070,新馬辣昆明店,A-152572922-00000-2 ,臺北市萬華區昆明街37號2樓,優
63000070,新馬辣武昌店,A-142998651-00000-2,臺北市萬華區武昌街2段72號3樓,優
63000070,新馬辣峨嵋店,A-150771755-00000-5,臺北市萬華區西寧南路155號5樓,優
63000020,聖瑪莉北醫店,A-109499839-00006-5,臺北市信義區吳興街252號1樓,優
63000030,聖瑪莉敦化店,A-109499839-00074-0,臺北市大安區忠孝東路4段148號B2,優
63000030,聖瑪莉科技店,A-109499839-00084-1,臺北市大安區復興南路2段287號,優
63000100,聖瑪莉內湖(潤泰)店,A-109499839-00097-5,臺北市內湖區成功路4段188號2樓,優
63000090,beard papa's-環球南港車站店,A-180292991-00017-6,臺北市南港區忠孝東路7段371號B1,優
63000030,beard papa's-SOGO復興店,A-180292991-00005-3,臺北市大安區忠孝東路3段300號B3,優
63000110,beard papa's-SOGO天母店,A-180292991-00006-4,臺北市士林區中山北路6段77號B1,優
63000020,beard papa's-統一夢廣場店,A-180292991-00108-7,臺北市信義區松高路11號B2樓,優
63000090,beard papa's-南港LALAPORT店,A-180292991-00110-0,臺北市南港區經貿二路131號5樓,優
63000110,樂田-士林中正,A-128427006-00081-6,臺北市士林區中正路235巷16號1樓,優
63000030,樂田-六張犁,A-128427006-00077-1,臺北市大安區和平東路3段124號1樓,優
63000120,樂田-關渡,A-128427006-00085-0,臺北市北投區大度路3段296巷51號1樓 ,優
63000020,樂田-世貿,A-128427006-00093-9,臺北市信義區信義路5段20號,優
63000060,樂田-雙連,A-128427006-00087-2,臺北市大同區民生西路47號,優
63000060,樂田-民權西路,A-128427006-00075-9,臺北市大同區民權西路72號,優
63000030,樂田-古亭,A-128427006-00078-2,臺北市大安區和平東路1段73號,優
63000030,樂田-忠孝復興,A-128427006-00096-2,臺北市大安區忠孝東路3段302號,優
63000030,樂田-敦南,A-128427006-00079-3,臺北市大安區敦化南路2段5號1樓,優
63000030,樂田-台電大樓,A-128427006-00080-5,臺北市大安區羅斯福路3段249號1樓,優
63000040,樂田-松江南京,A-128427006-00086-1,臺北市中山區松江路126號B1,優
63000040,樂田-松南二店,A-128427006-00089-4,臺北市中山區松江路126號B1,優
63000040,樂田-行天宮,A-128427006-00084-9,臺北市中山區松江路316號B1,優
63000050,樂田-衡陽,A-128427006-00076-0,臺北市中正區衡陽路99號1樓,優
63000050,樂田-中正,A-128427006-00056-8,臺北市中正區羅斯福路1段8之1號,優
63000010,樂田-松山,A-128427006-00083-8,臺北市松山區八德路4段742號B1,優
63000010,樂田-南京復興,A-128427006-00051-3,臺北市松山區復興北路145號1樓,優
