專案名稱,抽驗日期,分類,檢體名稱,抽驗行政郵遞區號,抽驗地點,檢驗結果,不符合規定原因
網路販售食品,20240605,根莖菜類,百合根,110,"蝦皮購物-好食代 冷凍食品批發小舖
(https://shopee.tw/lin24190902)",不符合規定,"鎘:0.24 mg/kg
(標準:0.05 mg/kg以下)
扶吉胺:0.84 ppm
(標準:不得檢出)"
網路販售食品,20240606,根莖菜類,北海道白銀食用百合球根一球199元(非常好吃),110,"蝦皮購物-sutinglin
(https://shopee.tw/sutinglin)",不符合規定,"鎘:0.17 mg/kg
(標準:0.05 mg/kg以下)
扶吉胺:0.30 ppm
(標準:不得檢出)"
網路販售食品,20240607,根莖菜類,日本百合(北海道)XXL,110,"蝦皮購物-HomeBar泓吧嚴選新鮮蔬果
(https://shopee.tw/jacck2668)",不符合規定,"鎘:0.53 mg/kg
(標準:0.05 mg/kg以下)
扶吉胺:1.57 ppm
(標準:不得檢出)"
素摻葷,20240619,奶蛋素,小麥藥膳丸,112,阿玉素食(北投中繼市場133號攤)/臺北市北投區磺港路33號,不符合規定,"1.動物性成分陽性、動物性成分陽性(豬、雞)陽性。
2.植物性成分陽性、五辛(洋蔥)陽性。"
素摻葷,20240620,奶蛋素,塔香燒球,105,張阿姨蔬食/臺北市松山區八德路4段673巷6號,不符合規定,"1.動物性成分陽性、動物性成分陽性(豬、雞、魚)陽性。
2.植物性成分陽性、五辛(洋蔥)陽性。"
蔬果,20240702,核果類,黑葉荔枝,104,果鮮一品商行(果鮮蔬果超市)/臺北市中山區吉林路176號,不符合規定,"殺蟲劑Deltamethrin 第滅寧1.0ppm(標準：0.5ppm以下) 
殺菌劑Difenoconazole 待克利3.4ppm(標準：0.5ppm以下) "
蔬果,20240702,核果類,荔枝,104,臺北市中山區民族東路410巷2弄18-20號前(五常市場),不符合規定,"殺蟲劑Deltamethrin 第滅寧1.4ppm(標準：0.5ppm以下) 
殺菌劑Pyraclostrobin 百克敏0.6ppm(標準：0.5ppm以下) "
蔬果,20240704,核果類,粉殼K3(龍眼),108,我家蔬果園/臺北市萬華區中華路2段416巷56號,不符合規定,"殺菌劑Difenoconazole 待克利1.0ppm(標準：0.5ppm以下) 
殺蟎劑Spirodiclofen 賜派芬0.8ppm(標準：0.5ppm以下) "
蔬果,20240703,大漿果類,百香果,110,辣十九國際開發股份有限公司(馬辣頂級鴛鴦鍋信義店)/臺北市信義區松壽路22號3樓,不符合規定,殺蟲劑Cyromazine 賽滅淨0.12ppm(標準：不得檢出) 
蔬果,20240704,大漿果類,波蘿蜜,108,上奕商行(INDEX)/臺北市萬華區國興路32號,不符合規定,生長調節劑Gibberellic acid 勃激素A3 0.05ppm(標準：不得檢出)
蔬果,20240702,小葉菜類,九層塔(羅勒),104,粒粒鮮股份有限公司(粒粒鮮)/臺北市中山區吉林路146號146之1號,不符合規定,殺草劑Ametryn 草殺淨0.03ppm(標準：不得檢出)
蔬果,20240704,小葉菜類,九層塔(羅勒),111,豪光回田實業有限公司(回田蔬苑)/臺北市士林區中正路357號1樓,不符合規定,殺蟲劑Spinetoram 賜諾特0.02ppm(標準：不得檢出)
蔬果,20240704,香辛植物及其他草木本植物,香菜(芫荽),111,璞園餐飲事業有限公司(台南海鮮會館)/臺北市士林區基河路130號地下一層,不符合規定,殺菌劑Pencycuron 賓克隆0.04ppm(標準0.01ppm以下) 
蔬果,20240704,根莖菜類,白蘿蔔,108,臺北市萬華區環河南路2段245號蔬菜攤0068號,不符合規定,殺蟲劑Clothianidin 可尼丁0.07ppm(標準：0.02ppm以下) 
蔬果,20240702,小葉菜類,九層塔(羅勒),104,臺北市中山區民族東路410巷2弄20號前,不符合規定,殺草劑Oxadiazon 樂滅草0.02ppm(標準：0.01ppm以下) 
蔬果,20240702,核果類,荔枝,105,明欣鮮果專賣店/臺北市松山區南京東路5段123巷27號1樓,不符合規定,殺蟲劑Cyhalothrin 賽洛寧1.0ppm(標準：0.5ppm以下) 
蔬果,20240704,小葉菜類,九層塔(羅勒),108,臺北市萬華區環河南路2段245號蔬菜攤0032號,不符合規定,殺菌劑Dimethomorph 達滅芬4.1ppm(標準：2.5ppm以下) 
散裝飲冰品及配料,20240613,飲料,麥香紅茶(不含冰塊及配料),105,厚鋪牛排館(人从众厚切牛排)/臺北市松山區光復北路146號1樓,不符合規定,"腸桿菌科：5.4x10^3 CFU/mL
(標準：10 CFU/mL)"
散裝飲冰品及配料,20240619,冰品,北海道牛奶霜淇淋,104,總柴日式氷菓專賣(CEO ICE CREAM)/臺北市中山區中山北路2段26巷18號,不符合規定,"腸桿菌科：40 CFU/g
(標準：10 CFU/g)"
散裝飲冰品及配料,20240619,冰品,紅豆牛奶雪花冰(不含配料),103,冰讚飲食店/臺北市大同區雙連街2號1樓,不符合規定,"腸桿菌科：2.0x10^3 CFU/g
(標準：10 CFU/g)"
散裝飲冰品及配料,20240624,冰品,招牌甘蔗冰沙(不含配料),100,金霖企業社(甘蔗媽媽)/臺北市中正區信陽街5之1號,不符合規定,"腸桿菌科：2.1x10^3 CFU/mL
(標準：10 CFU/mL)"
散裝飲冰品及配料,20240619,冰品,圓圓圓(雪花冰)(不含冰塊不含配料),108,喜客冰品店(冰封仙果)/臺北市萬華區中華路1段114巷18號1樓,不符合規定,"腸桿菌科：30 CFU/g
(標準：10 CFU/g)"
散裝飲冰品及配料,20240624,冰品,杏仁雪花冰,103,森昱食品有限公司(夏樹甜品)/臺北市大同區迪化街1段240號,不符合規定,"腸桿菌科：3.2x10^2 CFU/g
(標準：10 CFU/g)"
散裝飲冰品及配料,20240626,冰品,清香黑糖冰(不含配料),111,廣安階/臺北市士林區中山北路6段77號8樓,不符合規定,"腸桿菌科：88 CFU/mL
(標準：10 CFU/mL)"
散裝飲冰品及配料,20240701,冰品,霜淇淋(不含配料),114,金探吉事業有限公司(荖子鍋)/臺北市內湖區民善街88號,不符合規定,"腸桿菌科：1.5x10^3 CFU/g
(標準：10 CFU/g)"
散裝飲冰品及配料,20240702,飲料,芭樂梅,100,水龍堂(大苑子)/臺北市中正區南昌路1段80號,不符合規定,"腸桿菌科：70 CFU/mL
(標準：10 CFU/mL)"
市售產品塑化劑含量,20240611,膠囊錠狀食品,速清魚油,110,吳興春天藥局/臺北市信義區吳興街137號1樓,不符合規定,"DINP:54 ppm
(指標值:9 ppm)"
市售產品塑化劑含量,20240611,膠囊錠狀食品,綠芙特級高單位蜂膠軟膠囊,105,啄木鳥藥師藥局八德店/臺北市松山區八德路4段211號,不符合規定,"DBP:6.0ppm
(指標值:0.6ppm)"
穀豆類,20240617,乾豆類,精選毛綠豆-紅線,112,鴻璂雜糧行/臺北市北投區中央南路1段163號1樓,不符合規定,"賽速安(Thiamethoxam):0.09 ppm
(標準:0.02 ppm)
磷化氫(Phosphine):0.02 ppm
(標準:0.01 ppm)"
穀豆類,20240619,乾豆類,大毛綠(毛綠豆),114,利民雜糧行/臺北市內湖區內湖路2段300號,不符合規定,"賽果培(Thiacloprid):0.04 ppm
(標準:0.02 ppm)"
穀豆類,20240621,乾豆類,綠豆,103,永利食品有限公司/臺北市大同區迪化街1段143號,不符合規定,"芬普尼(Fipronil):0.001 ppm、芬普尼代謝物(Fipronil-sulfone)0.001 ppm=0.002 ppm
(標準:0.001 ppm)
賽速安(Thiamethoxam):0.16 ppm
(標準:0.02 ppm)"
中秋食品、烤肉食品、烤肉用容器具,20240709,烤肉用蔬菜,四季豆,104,雙連市場來于蔬菜35號攤/臺北市中山區民生西路45巷,不符合規定,"Indoxacarb因得克 0.02ppm
(標準:0.01ppm以下)
"
中秋食品、烤肉食品、烤肉用容器具,20240712,中秋月餅,豪紀芋頭餡 ,112,米泉食品行(米哥烘焙坊)/臺北市北投區光明路158號1樓,不符合規定,己二烯酸 1.0g/kg (標準:不得檢出)
中秋食品、烤肉食品、烤肉用容器具,20240710,中秋月餅,豆沙半蛋酥,104,金橞食品股份有限公司/臺北市中山區松江路297巷5號1樓,不符合規定,"(一)內容物為二種以上混合物未依其含量多寡由高至低分別標示。
(二)未標示「淨重、容量或數量」及「原產地（國）」。
(三)內容物含有麩質之穀類、蛋、奶、大豆及其製品，未標示食品過敏原資訊等。"
中秋食品、烤肉食品、烤肉用容器具,20240710,中秋月餅,"
芋火鳳凰酥
",104,金橞食品股份有限公司/臺北市中山區松江路297巷5號1樓,不符合規定,"(一)內容物為二種以上混合物未依其含量多寡由高至低分別標示。
(二)未標示「淨重、容量或數量」及「原產地（國）」。
(三)內容物含有麩質之穀類、蛋、奶、大豆及其製品，未標示食品過敏原資訊等。"
中秋食品、烤肉食品、烤肉用容器具,20240710,中秋月餅,金Q芋頭酥(葷),104,金橞食品股份有限公司/臺北市中山區松江路297巷5號1樓,不符合規定,"(一)內容物為二種以上混合物未依其含量多寡由高至低分別標示。
(二)未標示「淨重、容量或數量」及「原產地（國）」。
(三)內容物含有麩質之穀類、蛋、奶、大豆及其製品，未標示食品過敏原資訊等。"
中秋食品、烤肉食品、烤肉用容器具,20240710,中秋月餅,夏豆堅果塔(蛋奶素),104,慧上癮/臺北市中山區建國北路2段226巷42號,不符合規定,未標示原產地（國）、有效日期標示單獨黏貼未依規定印刷於外包裝上。
中秋食品、烤肉食品、烤肉用容器具,20240710,中秋月餅, 慧上癮鳳梨酥,104,慧上癮/臺北市中山區建國北路2段226巷42號,不符合規定,未標示有效日期。
